"LineNumber","Kind","Name","TypeDefIndex","Declaration"
"974886","class","ProviderLoadRequestOptions.SerializationAdatapter","14793","public class ProviderLoadRequestOptions.SerializationAdatapter : BinaryStorageBuffer.ISerializationAdapter<ProviderLoadRequestOptions>, BinaryStorageBuffer.ISerializationAdapter // TypeDefIndex: 14793"
"974908","class","ProviderLoadRequestOptions","14794","public class ProviderLoadRequestOptions // TypeDefIndex: 14794"
"975011","class","SceneProvider.UnloadSceneOp","14796","private class SceneProvider.UnloadSceneOp : AsyncOperationBase<SceneInstance> // TypeDefIndex: 14796"
"978687","struct","DownloadStatus","14824","public struct DownloadStatus // TypeDefIndex: 14824"
"978704","class","GetDownloadSizeOperation","14825","internal class GetDownloadSizeOperation : AsyncOperationBase<long> // TypeDefIndex: 14825"
"979170","class","UnityWebRequestOperation","14830","internal class UnityWebRequestOperation : AsyncOperationBase<UnityWebRequest> // TypeDefIndex: 14830"
"983238","struct","GoogleFinishTransactionService.","14905","private struct GoogleFinishTransactionService.<FindPurchase>d__4 : IAsyncStateMachine // TypeDefIndex: 14905"
"983386","struct","GooglePlayStoreService.","14910","private struct GooglePlayStoreService.<FetchPurchases>d__33 : IAsyncStateMachine // TypeDefIndex: 14910"
"983409","struct","GooglePlayStoreService.","14911","private struct GooglePlayStoreService.<TryFetchPurchases>d__34 : IAsyncStateMachine // TypeDefIndex: 14911"
"983524","class","GooglePurchaseService.","14913","private sealed class GooglePurchaseService.<>c__DisplayClass4_0 // TypeDefIndex: 14913"
"983548","class","GooglePurchaseService","14914","internal class GooglePurchaseService : IGooglePurchaseService // TypeDefIndex: 14914"
"983595","class","GoogleQueryPurchasesService.","14915","private sealed class GoogleQueryPurchasesService.<>c // TypeDefIndex: 14915"
"983618","class","GoogleQueryPurchasesService.","14916","private sealed class GoogleQueryPurchasesService.<>c__DisplayClass4_0 // TypeDefIndex: 14916"
"983638","class","GoogleQueryPurchasesService.","14917","private sealed class GoogleQueryPurchasesService.<>c__DisplayClass5_0 // TypeDefIndex: 14917"
"983666","struct","GoogleQueryPurchasesService.","14918","private struct GoogleQueryPurchasesService.<QueryPurchases>d__3 : IAsyncStateMachine // TypeDefIndex: 14918"
"983690","class","GoogleQueryPurchasesService","14919","internal class GoogleQueryPurchasesService : IGoogleQueryPurchasesService // TypeDefIndex: 14919"
"983762","class","GoogleAcknowledgePurchaseListener","14922","internal class GoogleAcknowledgePurchaseListener : AndroidJavaProxy // TypeDefIndex: 14922"
"983797","struct","GooglePurchaseUpdatedListener.","14924","private struct GooglePurchaseUpdatedListener.<HandleUserCancelledPurchaseFailure>d__14 : IAsyncStateMachine // TypeDefIndex: 14924"
"983818","class","GooglePurchaseUpdatedListener","14925","internal class GooglePurchaseUpdatedListener : AndroidJavaProxy, IGooglePurchaseUpdatedListener // TypeDefIndex: 14925"
"983896","class","GooglePurchasesResponseListener","14926","internal class GooglePurchasesResponseListener : AndroidJavaProxy // TypeDefIndex: 14926"
"984351","class","GetGoogleProductMetadataExtension","14944","public static class GetGoogleProductMetadataExtension // TypeDefIndex: 14944"
"984425","class","GooglePlayPurchaseCallback.","14947","private sealed class GooglePlayPurchaseCallback.<>c__DisplayClass8_0 // TypeDefIndex: 14947"
"984448","class","GooglePlayPurchaseCallback.","14948","private sealed class GooglePlayPurchaseCallback.<>c__DisplayClass9_0 // TypeDefIndex: 14948"
"984468","class","GooglePlayPurchaseCallback","14949","internal class GooglePlayPurchaseCallback : IGooglePurchaseCallback // TypeDefIndex: 14949"
"984636","interface","IGoogleFetchPurchases","14957","internal interface IGoogleFetchPurchases // TypeDefIndex: 14957"
"984663","interface","IGooglePlayStorePurchaseService","14959","internal interface IGooglePlayStorePurchaseService // TypeDefIndex: 14959"
"984704","class","GoogleProductMetadata","14962","public class GoogleProductMetadata : ProductMetadata // TypeDefIndex: 14962"
"984765","class","GoogleFetchPurchases.","14963","private sealed class GoogleFetchPurchases.<>c // TypeDefIndex: 14963"
"984789","class","GoogleFetchPurchases.","14964","private sealed class GoogleFetchPurchases.<>c__DisplayClass10_0 // TypeDefIndex: 14964"
"984806","class","GoogleFetchPurchases.","14965","private sealed class GoogleFetchPurchases.<>c__DisplayClass6_0 // TypeDefIndex: 14965"
"984823","class","GoogleFetchPurchases.","14966","private sealed class GoogleFetchPurchases.<>c__DisplayClass8_0 // TypeDefIndex: 14966"
"984842","class","GoogleFetchPurchases","14967","internal class GoogleFetchPurchases : IGoogleFetchPurchases // TypeDefIndex: 14967"
"984947","class","GooglePlayStorePurchaseService","14970","internal class GooglePlayStorePurchaseService : IGooglePlayStorePurchaseService // TypeDefIndex: 14970"
"985580","class","InventoryInterface","15001","internal class InventoryInterface // TypeDefIndex: 15001"
"985649","class","UdpIapBridgeInterface","15004","internal class UdpIapBridgeInterface // TypeDefIndex: 15004"
"985713","class","AppleProductMetadata","15008","public class AppleProductMetadata : ProductMetadata // TypeDefIndex: 15008"
"985808","class","AppleStoreImpl","15012","internal class AppleStoreImpl : JSONStore, IAppleExtensions, IStoreExtension, IAppleConfiguration, IStoreConfiguration // TypeDefIndex: 15012"
"985959","class","FakeAppleConfiguration","15013","internal class FakeAppleConfiguration : IAppleConfiguration, IStoreConfiguration // TypeDefIndex: 15013"
"985970","class","FakeAppleExtensions","15014","internal class FakeAppleExtensions : IAppleExtensions, IStoreExtension // TypeDefIndex: 15014"
"985983","interface","IAppleConfiguration","15015","public interface IAppleConfiguration : IStoreConfiguration // TypeDefIndex: 15015"
"985987","interface","IAppleExtensions","15016","public interface IAppleExtensions : IStoreExtension // TypeDefIndex: 15016"
"986263","class","DialogRequest","15029","internal class DialogRequest // TypeDefIndex: 15029"
"986764","class","ProductCatalogItem","15048","public class ProductCatalogItem // TypeDefIndex: 15048"
"987067","enum","StoreSpecificPurchaseErrorCode","15056","public enum StoreSpecificPurchaseErrorCode // TypeDefIndex: 15056"
"987737","class","WinRTStore","15086","internal class WinRTStore : AbstractStore, IWindowsIAPCallback, IMicrosoftExtensions, IStoreExtension // TypeDefIndex: 15086"
"987975","class","IapCoreInitializeCallback.","15090","private sealed class IapCoreInitializeCallback.<>c__DisplayClass2_0 // TypeDefIndex: 15090"
"987992","class","IapCoreInitializeCallback","15091","internal class IapCoreInitializeCallback : IInitializablePackage // TypeDefIndex: 15091"
"988018","class","GooglePurchaseBuilder.","15092","private sealed class GooglePurchaseBuilder.<>c__DisplayClass6_0 // TypeDefIndex: 15092"
"988034","class","GooglePurchaseBuilder.","15093","private sealed class GooglePurchaseBuilder.<>c__DisplayClass6_1 // TypeDefIndex: 15093"
"988049","class","GooglePurchaseBuilder","15094","internal class GooglePurchaseBuilder : IGooglePurchaseBuilder // TypeDefIndex: 15094"
"988219","interface","IGooglePurchase","15103","internal interface IGooglePurchase // TypeDefIndex: 15103"
"988258","interface","IGooglePurchaseBuilder","15104","internal interface IGooglePurchaseBuilder // TypeDefIndex: 15104"
"988270","interface","IGooglePurchaseCallback","15105","internal interface IGooglePurchaseCallback // TypeDefIndex: 15105"
"988294","interface","IGooglePurchaseService","15106","internal interface IGooglePurchaseService // TypeDefIndex: 15106"
"988303","interface","IGooglePurchaseStateEnumProvider","15107","internal interface IGooglePurchaseStateEnumProvider // TypeDefIndex: 15107"
"988315","interface","IGooglePurchaseUpdatedListener","15108","internal interface IGooglePurchaseUpdatedListener // TypeDefIndex: 15108"
"988320","interface","IGoogleQueryPurchasesService","15109","internal interface IGoogleQueryPurchasesService // TypeDefIndex: 15109"
"988621","class","GooglePurchase.","15122","private sealed class GooglePurchase.<>c // TypeDefIndex: 15122"
"988645","class","GooglePurchase","15123","internal class GooglePurchase : IGooglePurchase // TypeDefIndex: 15123"
"988729","class","GooglePurchaseStateEnum","15124","internal static class GooglePurchaseStateEnum // TypeDefIndex: 15124"
"988748","class","GooglePurchaseStateEnumProvider","15125","internal class GooglePurchaseStateEnumProvider : IGooglePurchaseStateEnumProvider // TypeDefIndex: 15125"
"988890","class","ReloadSceneOnKeyDown","15133","public class ReloadSceneOnKeyDown : MonoBehaviour // TypeDefIndex: 15133"
"990080","class","MaterialPropertyBlockExample","15173","public class MaterialPropertyBlockExample : MonoBehaviour // TypeDefIndex: 15173"
"990568","enum","MixAndMatchSkinsExample.ItemType","15192","public enum MixAndMatchSkinsExample.ItemType // TypeDefIndex: 15192"
"990937","class","RenderTextureFadeoutExample.","15201","private sealed class RenderTextureFadeoutExample.<Start>d__5 : IEnumerator<object>, IEnumerator, IDisposable // TypeDefIndex: 15201"
"990975","class","RenderTextureFadeoutExample","15202","public class RenderTextureFadeoutExample : MonoBehaviour // TypeDefIndex: 15202"
"991027","class","RuntimeLoadFromExportsExample.","15204","private sealed class RuntimeLoadFromExportsExample.<Start>d__17 : IEnumerator<object>, IEnumerator, IDisposable // TypeDefIndex: 15204"
"991065","class","RuntimeLoadFromExportsExample","15205","public class RuntimeLoadFromExportsExample : MonoBehaviour // TypeDefIndex: 15205"
"991215","class","SkeletonGhostRenderer.","15209","private sealed class SkeletonGhostRenderer.<Fade>d__10 : IEnumerator<object>, IEnumerator, IDisposable // TypeDefIndex: 15209"
"991257","class","SkeletonGhostRenderer.","15210","private sealed class SkeletonGhostRenderer.<FadeAdditive>d__11 : IEnumerator<object>, IEnumerator, IDisposable // TypeDefIndex: 15210"
"991916","class","SkeletonRenderTextureFadeout.FadeoutCallback","15230","public sealed class SkeletonRenderTextureFadeout.FadeoutCallback : MulticastDelegate // TypeDefIndex: 15230"
"991935","class","SkeletonRenderTextureFadeout","15231","public class SkeletonRenderTextureFadeout : MonoBehaviour // TypeDefIndex: 15231"
"992486","struct","SkeletonUtilityKinematicShadow.TransformPair","15243","private struct SkeletonUtilityKinematicShadow.TransformPair // TypeDefIndex: 15243"
"992494","enum","SkeletonUtilityKinematicShadow.PhysicsSystem","15244","public enum SkeletonUtilityKinematicShadow.PhysicsSystem // TypeDefIndex: 15244"
"992503","class","SkeletonUtilityKinematicShadow","15245","public class SkeletonUtilityKinematicShadow : MonoBehaviour // TypeDefIndex: 15245"
"994447","enum","NtlmAuthLevel","15300","public enum NtlmAuthLevel // TypeDefIndex: 15300"
"994609","enum","AlertLevel","15306","public enum AlertLevel // TypeDefIndex: 15306"
"996214","class","PrimeGeneratorBase","15345","public abstract class PrimeGeneratorBase // TypeDefIndex: 15345"
"996240","class","SequentialSearchPrimeGeneratorBase","15346","public class SequentialSearchPrimeGeneratorBase : PrimeGeneratorBase // TypeDefIndex: 15346"
"996520","class","PlayGamesLeaderboard","15364","public class PlayGamesLeaderboard : ILeaderboard // TypeDefIndex: 15364"
"997312","class","PlayGamesUserProfile.","15384","private sealed class PlayGamesUserProfile.<LoadImage>d__23 : IEnumerator<object>, IEnumerator, IDisposable // TypeDefIndex: 15384"
"998648","class","AndroidNearbyConnectionClient.AdvertisingConnectionLifecycleCallbackProxy","15431","private class AndroidNearbyConnectionClient.AdvertisingConnectionLifecycleCallbackProxy : AndroidJavaProxy // TypeDefIndex: 15431"
"998672","class","AndroidNearbyConnectionClient.PayloadCallback","15432","private class AndroidNearbyConnectionClient.PayloadCallback : AndroidJavaProxy // TypeDefIndex: 15432"
"998732","class","AndroidNearbyConnectionClient.OnGameThreadMessageListener.","15435","private sealed class AndroidNearbyConnectionClient.OnGameThreadMessageListener.<>c__DisplayClass2_0 // TypeDefIndex: 15435"
"998751","class","AndroidNearbyConnectionClient.OnGameThreadMessageListener.","15436","private sealed class AndroidNearbyConnectionClient.OnGameThreadMessageListener.<>c__DisplayClass3_0 // TypeDefIndex: 15436"
"998767","class","AndroidNearbyConnectionClient.OnGameThreadMessageListener","15437","private class AndroidNearbyConnectionClient.OnGameThreadMessageListener : IMessageListener // TypeDefIndex: 15437"
"998786","class","AndroidNearbyConnectionClient.OnGameThreadDiscoveryListener.","15438","private sealed class AndroidNearbyConnectionClient.OnGameThreadDiscoveryListener.<>c__DisplayClass2_0 // TypeDefIndex: 15438"
